# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
 269    5360.00    5380.00  5.552712338091164E-17  2.742713859391829E-17 256
 270    5380.00    5400.00 -3.315534303570307E-16  3.432141763637005E-16 267
 271    5400.00    5420.00  4.669673120488325E-18  2.253870902343389E-18 181
 272    5420.00    5440.00  6.402416745233010E-18  6.224272556977109E-18 216
 273    5440.00    5460.00  7.327144231726841E-19  2.986527204031076E-18 207
 274    5460.00    5480.00  4.577519294381244E-18  3.499570342893279E-18 151
 275    5480.00    5500.00  1.193321362973050E-17  7.535613275683894E-18 150
 276    5500.00    5520.00  1.010784287482126E-18  8.601878303065942E-19 141
 277    5520.00    5540.00  9.863813335082231E-19  8.391364629539502E-19 128
 278    5540.00    5560.00  1.564888238306085E-18  2.142026931490810E-18 118
 279    5560.00    5580.00  4.638762940900647E-20  1.997702208566738E-19 114
 280    5580.00    5600.00  3.570702362037752E-19  1.784864216400758E-19 95
 281    5600.00    5620.00  5.771309810821401E-19  4.663726409726780E-19 94
 282    5620.00    5640.00 -3.655928711797854E-19  2.053311025268208E-18 81
 283    5640.00    5660.00  1.242402283203529E-17  9.079278707456215E-18 75
 284    5660.00    5680.00  1.641892160601298E-18  1.413752017062184E-18 72
 285    5680.00    5700.00 -2.591925457455791E-20  6.424348159748986E-20 63
 286    5700.00    5720.00 -9.759160411887708E-20  7.036049730146130E-20 47
 287    5720.00    5740.00  7.530734864954759E-19  5.550805123391381E-19 46
 288    5740.00    5760.00 -4.469627091697494E-20  2.936867284290078E-20 30
 289    5760.00    5780.00 -1.533950845202424E-20  6.382066866997653E-20 43
 290    5780.00    5800.00  6.016168413030091E-19  6.038339215606009E-19 32
 291    5800.00    5820.00 -6.151795337255470E-22  5.694197996222470E-20 35
 292    5820.00    5840.00  6.799083843539270E-22  1.601518601349511E-20 30
 293    5840.00    5860.00  2.814860749719490E-21  6.932252053191965E-21 22
 294    5860.00    5880.00  6.692634376531906E-21  5.378144018157291E-21 24
 295    5880.00    5900.00 -2.822466099203502E-21  1.486934863822938E-21 18
 296    5900.00    5920.00  5.388467184487513E-22  5.442265422147337E-22 21
 297    5920.00    5940.00 -5.336858820024103E-21  5.118545946755643E-21 8
 298    5940.00    5960.00 -1.840644328084902E-21  2.066800048825499E-21 16
 299    5960.00    5980.00 -2.099194488190457E-22  2.084756287821334E-22 12
 300    5980.00    6000.00 -4.138451228054178E-23  8.002288054982375E-23 11
 301    6000.00    6020.00  0.000000000000000E+00  0.000000000000000E+00 1
 302    6020.00    6040.00  3.015160892042015E-23  2.916614909660470E-23 3
 303    6040.00    6060.00 -2.175610207692921E-23  2.023540424934864E-23 2
 304    6060.00    6080.00  1.285504957436182E-23  9.517271003264511E-24 3
 305    6080.00    6100.00  0.000000000000000E+00  0.000000000000000E+00 0
 306    6100.00    6120.00  1.004894397882739E-23  1.004894397698157E-23 2
 307    6120.00    6140.00  4.365855464519792E-21  4.365860401862722E-21 2
 308    6140.00    6160.00 -4.371198820929924E-21  4.371198814097104E-21 1
 309    6160.00    6180.00  0.000000000000000E+00  0.000000000000000E+00 1
 310    6180.00    6200.00 -4.249211634250103E-26  4.249211627607965E-26 1
 311    6200.00    6220.00  0.000000000000000E+00  0.000000000000000E+00 0
 312    6220.00    6240.00  0.000000000000000E+00  0.000000000000000E+00 0
 313    6240.00    6260.00  0.000000000000000E+00  0.000000000000000E+00 0
 314    6260.00    6280.00  0.000000000000000E+00  0.000000000000000E+00 0
 315    6280.00    6300.00  0.000000000000000E+00  0.000000000000000E+00 0
 316    6300.00    6320.00  0.000000000000000E+00  0.000000000000000E+00 0
 317    6320.00    6340.00  0.000000000000000E+00  0.000000000000000E+00 0
