 #           1 : d2S/dy_jj dm_jj (fb/GeV)	 #           1 : d2S/dy_jj dm_jj (fb/GeV)
3.00000 3.50000 900.000 950.000 0.00032672337007873985 1.5194467466172322e-07	3.00000 3.50000 900.000 950.000 8.337781875000001e-08 9.020791585925218e-10
3.00000 3.50000 950.000 1000.00 0.0002986194409448819 1.4509644176690488e-07	3.00000 3.50000 950.000 1000.00 7.00379875e-08 7.41244788355941e-10
3.00000 3.50000 1000.00 1050.00 0.002977991102362205 5.448385353657306e-07	3.00000 3.50000 1000.00 1050.00 4.3695734374999994e-07 2.937465368878308e-09
 	 
3.50000 4.00000 -50.0000 0.00000 0.0 0.0	3.50000 4.00000 -50.0000 0.00000 0.0 0.0
3.50000 4.00000 0.00000 50.0000 0.0 0.0	3.50000 4.00000 0.00000 50.0000 0.0 0.0
3.50000 4.00000 50.0000 100.000 0.0 0.0	3.50000 4.00000 50.0000 100.000 0.0 0.0
3.50000 4.00000 100.000 150.000 0.0 0.0	3.50000 4.00000 100.000 150.000 0.0 0.0
3.50000 4.00000 150.000 200.000 0.0 0.0	3.50000 4.00000 150.000 200.000 0.0 0.0
3.50000 4.00000 200.000 250.000 1.7988629921259842e-05 4.542612448857373e-08	3.50000 4.00000 200.000 250.000 9.018910625e-08 1.251848844804195e-09
3.50000 4.00000 250.000 300.000 6.60644015748032e-05 8.738598098038113e-08	3.50000 4.00000 250.000 300.000 1.75306e-07 1.1172795904124214e-09
3.50000 4.00000 300.000 350.000 0.00013560552755905505 1.1749828443707972e-07	3.50000 4.00000 300.000 350.000 2.1997128125e-07 1.1453915756579847e-09
3.50000 4.00000 350.000 400.000 0.00021543609448818908 1.534792411087086e-07	3.50000 4.00000 350.000 400.000 2.33352625e-07 1.1949764290727057e-09
3.50000 4.00000 400.000 450.000 0.0002914436614173229 1.6373120224367123e-07	3.50000 4.00000 400.000 450.000 2.2530228124999998e-07 1.1682804648555438e-09
3.50000 4.00000 450.000 500.000 0.0003556559133858269 1.7612804277967977e-07	3.50000 4.00000 450.000 500.000 2.0614084374999998e-07 1.0868011280872948e-09
3.50000 4.00000 500.000 550.000 0.00040384009448818896 1.8643081342891088e-07	3.50000 4.00000 500.000 550.000 1.8533221875e-07 1.1329405657204102e-09
3.50000 4.00000 550.000 600.000 0.00043705456692913404 1.8811714670996363e-07	3.50000 4.00000 550.000 600.000 1.6185390625e-07 9.928962429733263e-10
3.50000 4.00000 600.000 650.000 0.00045513550393700797 1.891608961114549e-07	3.50000 4.00000 600.000 650.000 1.3747896875e-07 9.014293308355487e-10
3.50000 4.00000 650.000 700.000 0.00046180785826771656 1.8503336849379278e-07	3.50000 4.00000 650.000 700.000 1.201545625e-07 9.024961529312267e-10
3.50000 4.00000 700.000 750.000 0.0004586973070866141 1.8446691368021985e-07	3.50000 4.00000 700.000 750.000 1.0291539062499999e-07 8.549208570492204e-10
3.50000 4.00000 750.000 800.000 0.0004483244724409452 1.7673173372438415e-07	3.50000 4.00000 750.000 800.000 8.695114687500001e-08 7.83127784630549e-10
3.50000 4.00000 800.000 850.000 0.00043278248031496065 1.7112513946087094e-07	3.50000 4.00000 800.000 850.000 7.4501315625e-08 7.369281862486961e-10
3.50000 4.00000 850.000 900.000 0.00041380803937007897 1.6889675086663956e-07	3.50000 4.00000 850.000 900.000 6.2983175e-08 7.058643728582746e-10
3.50000 4.00000 900.000 950.000 0.0003923905748031496 1.6261788010477959e-07	3.50000 4.00000 900.000 950.000 5.440787500000001e-08 6.502971646647371e-10
3.50000 4.00000 950.000 1000.00 0.00036946510236220446 1.5459883749294335e-07	3.50000 4.00000 950.000 1000.00 4.694169687499999e-08 6.570268130647601e-10
3.50000 4.00000 1000.00 1050.00 0.004360739291338585 5.689508597504167e-07	3.50000 4.00000 1000.00 1050.00 2.9934631250000006e-07 2.710035798328623e-09
 	 
4.00000 4.50000 -50.0000 0.00000 0.0 0.0	4.00000 4.50000 -50.0000 0.00000 0.0 0.0
4.00000 4.50000 0.00000 50.0000 0.0 0.0	4.00000 4.50000 0.00000 50.0000 0.0 0.0
